     128	3389.64369	460800	1155072	2375680	4112384	5537792	6848512	8028160	9240576	10682368	13041664	17432576	21889024	33423360	39059456	61603840	187695104	217055232
     256	4462.376337	366592	489472	626688	937984	1417216	2244608	3555328	5472256	7831552	10813440	17170432	25034752	47972352	59506688	87556096	96993280	120061952
     512	4787.041972	358400	464896	577536	815104	1155072	1646592	2473984	3850240	6127616	9764864	17432576	26345472	51642368	62128128	95944704	107479040	156237824
    1024	4819.837517	354304	452608	552960	765952	1056768	1515520	2211840	3424256	5603328	9502720	17694720	27394048	54788096	67633152	95944704	104333312	121110528
    2048	4783.270595	358400	456704	552960	774144	1073152	1531904	2244608	3457024	5603328	9371648	17956864	27918336	55312384	66322432	93847552	106430464	143654912
    4096	4691.203411	362496	460800	552960	765952	1073152	1515520	2244608	3522560	5799936	9895936	18219008	28180480	54263808	68681728	102236160	114819072	139460608
    8192	3337.231384	481280	1253376	2539520	4292608	5734400	7045120	8290304	9502720	10944512	13303808	17694720	22413312	34340864	40632320	58982400	66322432	80216064
   16384	3163.872255	460800	790528	1433600	3260416	4882432	6324224	7766016	9240576	10682368	13303808	18219008	23986176	51118080	103284736	200278016	212860928	258998272
   32768	1719.342604	501760	864256	1843200	3850240	5341184	6782976	8093696	9371648	10944512	14221312	24772608	83361792	219152384	270532608	413138944	438304768	591396864
   65536	949.487919	536576	708608	946176	2342912	4227072	6062080	7831552	9764864	12386304	21889024	103284736	202375168	396361728	471859200	784334848	884998144	1044381696
  131072	486.434685	724992	913408	1073152	1449984	2211840	4685824	8847360	16580608	41156608	110624768	214958080	337641472	574619648	633339904	784334848	952107008	1052770304
  262144	255.997076	1089536	1384448	1662976	2244608	3489792	8585216	21364736	60555264	135266304	219152384	383778816	534773760	960495616	1249902592	1451229184	1484783616	1568669696
  524288	136.362133	1728512	2211840	2605056	3424256	4816896	7962624	19267584	55312384	147849216	265289728	725614592	1384120320	2734686208	2969567232	3137339392	3170893824	3238002688
 1048576	64.075942	2899968	3555328	4227072	5537792	7438336	11993088	31588352	100139008	217055232	517996544	2197815296	2902458368	4177526784	4731174912	5737807872	5872025600	5872025600
 2097152	32.969886	4947968	6258688	7766016	10682368	15925248	31850496	86507520	206569472	371195904	1044381696	3976200192	5939134464	8657043456	9193914368	9865003008	10401873920	10401873920
 4194304	18.673841	10944512	16908288	20316160	37486592	59506688	145752064	240123904	417333248	952107008	2038431744	7281311744	9462349824	13354663936	14831058944	15904800768	15904800768	15904800768
 8388608	7.897148	15532032	33423360	74973184	231735296	421527552	675282944	1837105152	3707764736	5268045824	8220835840	9999220736	13220446208	17112760320	17112760320	17112760320	17112760320	17112760320
16777216	3.742748	49545216	252706816	616562688	1568669696	3170893824	6476005376	8925478912	9999220736	11475615744	13891534848	17112760320	17112760320	17112760320	17112760320	17112760320	17112760320	17112760320
     128	1501.187958	440320	1417216	2539520	3948544	5144576	6258688	7372800	8454144	9764864	11730944	17432576	29753344	476053504	675282944	1451229184	1920991232	2701131776
     256	3799.040991	399360	602112	872448	1761280	3194880	4816896	6455296	8093696	9764864	12124160	17432576	23461888	43778048	53739520	88604672	102236160	122159104
     512	4504.862453	366592	468992	577536	823296	1187840	1761280	2736128	4358144	6782976	10158080	17432576	26345472	57409536	76021760	126353408	145752064	177209344
    1024	4734.256885	358400	456704	561152	782336	1089536	1548288	2310144	3588096	5734400	9371648	17432576	27394048	56885248	72876032	107479040	123207680	145752064
    2048	4671.953617	366592	464896	561152	774144	1073152	1515520	2211840	3391488	5406720	9240576	18219008	28966912	59506688	73924608	105381888	117964800	143654912
    4096	4640.805172	366592	468992	561152	782336	1089536	1564672	2277376	3489792	5668864	9633792	18481152	28966912	57409536	70778880	102236160	116916224	141557760
    8192	3184.082584	1011712	2637824	3620864	5079040	6324224	7503872	8585216	9764864	11206656	13565952	17956864	22413312	34340864	40108032	54788096	61079552	72876032
