     128	       0	       0
     256	       0	       0
     512	    5761	       0
    1024	   11374	       0
    2048	   20582	       0
    4096	   39108	       0
    8192	   72999	       0
   16384	  133168	       0
   32768	  188349	       0
   65536	  253832	       0
  131072	  313136	       0
  262144	  357354	       0
  524288	  392515	       0
 1048576	  413836	       0
 2097152	  430759	       0
 4194304	  436568	       0
 8388608	  443104	       0
16777216	  526139	       0
     128	       0	       0
     256	       0	       0
     512	    6120	       0
    1024	   11438	       0
    2048	   20741	       0
    4096	   39336	       0
    8192	   73123	       0
   16384	  135228	       0
   32768	  194646	       0
   65536	  263105	       0
  131072	  326584	       0
  262144	  377106	       0
  524288	  405720	       0
 1048576	  429194	       0
 2097152	  437649	       0
 4194304	  435837	       0
 8388608	  441120	       0
16777216	  454250	       0
     128	       0	       0
     256	       0	       0
     512	    5911	       0
    1024	   11490	       0
    2048	   20929	       0
    4096	   39866	       0
    8192	   73990	       0
   16384	  135953	       0
   32768	  192123	       0
   65536	  258293	       0
  131072	  321429	       0
  262144	  370874	       0
  524288	  397930	       0
 1048576	  421255	       0
 2097152	  434556	       0
 4194304	  434099	       0
 8388608	  448159	       0
16777216	  467989	       0
     128	       0	       0
     256	       0	       0
     512	    6451	       0
    1024	   11516	       0
    2048	   20991	       0
    4096	   39985	       0
    8192	   74254	       0
   16384	  137101	       0
   32768	  196959	       0
   65536	  264903	       0
  131072	  331992	       0
  262144	  384004	       0
  524288	  411312	       0
 1048576	  432003	       0
 2097152	  443024	       0
 4194304	  434717	       0
 8388608	  445837	       0
16777216	  459084	       0
     128	       0	       0
     256	       0	       0
     512	    6199	       0
    1024	   11499	       0
    2048	   20895	       0
    4096	   40017	       0
    8192	   74053	       0
   16384	  136570	       0
   32768	  195233	       0
   65536	  262725	       0
  131072	  328173	       0
  262144	  379657	       0
  524288	  405666	       0
 1048576	  427994	       0
 2097152	  439217	       0
 4194304	  436034	       0
 8388608	  445418	       0
16777216	  460384	       0
     128	       0	       0
     256	       0	       0
     512	    5784	       0
    1024	   11403	       0
    2048	   20665	       0
    4096	   39202	       0
    8192	   73008	       0
   16384	  133874	       0
   32768	  190138	       0
   65536	  255351	       0
  131072	  317192	       0
  262144	  363371	       0
  524288	  394418	       0
 1048576	  419766	       0
 2097152	  426683	       0
 4194304	  438073	       0
 8388608	  439467	       0
16777216	  496484	       0
     128	       0	       0
     256	       0	       0
     512	    6723	       0
    1024	   11511	       0
    2048	   21006	       0
    4096	   39928	       0
    8192	   74456	       0
   16384	  136802	       0
   32768	  198271	       0
   65536	  266834	       0
  131072	  335845	       0
  262144	  389559	       0
  524288	  417525	       0
 1048576	  434703	       0
 2097152	  449936	       0
 4194304	  435301	       0
 8388608	  444990	       0
16777216	  459945	       0
     128	       0	       0
     256	       0	       0
     512	    5757	       0
    1024	   11381	       0
    2048	   20577	       0
    4096	   39107	       0
    8192	   72829	       0
   16384	  132204	       0
   32768	  187167	       0
   65536	  251300	       0
  131072	  310060	       0
  262144	  353747	       0
  524288	  388521	       0
 1048576	  412929	       0
 2097152	  430490	       0
 4194304	  439728	       0
 8388608	  440042	       0
16777216	  616370	       0
     128	       0	       0
     256	       0	       0
     512	    5848	       0
    1024	   11468	       0
    2048	   20919	       0
    4096	   39904	       0
    8192	   73939	       0
   16384	  135086	       0
   32768	  190342	       0
   65536	  255526	       0
  131072	  317677	       0
  262144	  364753	       0
  524288	  394288	       0
 1048576	  417893	       0
 2097152	  434064	       0
 4194304	  435140	       0
 8388608	  441757	       0
16777216	  501734	       0
     128	       0	       0
     256	       0	       0
     512	    6624	       0
    1024	   11457	       0
    2048	   20891	       0
    4096	   39361	       0
    8192	   73530	       0
   16384	  135327	       0
   32768	  197735	       0
   65536	  267303	       0
  131072	  334002	       0
  262144	  388005	       0
  524288	  415090	       0
 1048576	  435704	       0
 2097152	  450247	       0
 4194304	  431330	       0
 8388608	  445249	       0
16777216	  456743	       0
     128	       0	       0
     256	       0	       0
     512	    5806	       0
    1024	   11438	       0
    2048	   20761	       0
    4096	   39642	       0
    8192	   73517	       0
   16384	  133339	       0
   32768	  186620	       0
   65536	  249923	       0
  131072	  309340	       0
  262144	  353549	       0
  524288	  388158	       0
 1048576	  410350	       0
