,9,10,11,12,13,14,15,16
0,2417,4873,9559,18654,26450,51800,97442,120153
1,2413,4865,9526,18730,26399,51778,97839,120151
2,2423,4840,9573,18618,26394,51865,97409,120151
3,2417,4866,9545,18663,26397,51920,97428,120298
4,2423,4845,9591,18521,26400,51854,97470,120675
5,2414,4860,9543,18704,26518,52030,97292,120786
6,2420,4883,9529,18777,26560,51852,97534,120261
7,2423,4844,9550,18506,26445,51909,97381,120771
8,2415,4839,9547,18574,26446,51798,97440,120686
9,2417,4883,9548,18803,26380,51843,97399,120782
10,2417,4845,9497,18530,26392,51956,97677,120352
11,2417,4878,9538,18774,26402,51843,97406,120801
12,2414,4882,9485,18758,26394,52029,97818,119800
13,2418,4864,9553,18742,26403,51929,97652,120790
14,2417,4875,9561,18667,26448,51814,97429,120691
15,2422,4831,9568,18482,26399,51859,97460,120126
