     128	       0	       0
     256	       0	       0
     512	    2724	    2724
    1024	    5473	    5473
    2048	   12752	   12752
    4096	   69145	   69145
    8192	  115773	  115773
   16384	  172857	  172857
   32768	  192091	  192091
   65536	  200442	  200442
  131072	  205820	  205820
  262144	  206694	  206694
  524288	  218007	  218007
 1048576	  215873	  215873
 2097152	  219557	  219557
 4194304	  210743	  210743
 8388608	  216660	  216660
16777216	  216250	  216250
     128	       0	       0
     256	       0	       0
     512	    2736	    2736
    1024	    5593	    5593
    2048	   12767	   12767
    4096	   70030	   70030
    8192	  115604	  115604
   16384	  188049	  188049
   32768	  193629	  193629
   65536	  221172	  221172
  131072	  211773	  211773
  262144	  209924	  209924
  524288	  220252	  220252
 1048576	  216136	  216136
 2097152	  209703	  209703
 4194304	  210883	  210883
 8388608	  203048	  203048
16777216	  207633	  207633
     128	       0	       0
     256	       0	       0
     512	    2736	    2736
    1024	    5603	    5603
    2048	   12845	   12845
    4096	   71169	   71169
    8192	  116012	  116012
   16384	  172657	  172657
   32768	  193378	  193378
   65536	  204279	  204279
  131072	  202657	  202657
  262144	  210126	  210126
  524288	  216959	  216959
 1048576	  210517	  210517
 2097152	  220421	  220421
 4194304	  219769	  219769
 8388608	  198030	  198030
16777216	  206972	  206972
     128	       0	       0
     256	       0	       0
     512	    2731	    2731
    1024	    5755	    5755
    2048	   13547	   13547
    4096	   69247	   69247
    8192	  129659	  129659
   16384	  173532	  173532
   32768	  191953	  191953
   65536	  197454	  197454
  131072	  205745	  205745
  262144	  207813	  207813
  524288	  221784	  221784
 1048576	  229768	  229768
 2097152	  216181	  216181
 4194304	  219318	  219318
 8388608	  236802	  236802
16777216	  208149	  208149
     128	       0	       0
     256	       0	       0
     512	    2729	    2729
    1024	    5500	    5500
    2048	   13625	   13625
    4096	   70832	   70832
    8192	  115884	  115884
   16384	  188396	  188396
   32768	  193179	  193179
   65536	  221080	  221080
  131072	  203353	  203353
  262144	  212753	  212753
  524288	  216423	  216423
 1048576	  214421	  214421
 2097152	  226691	  226691
 4194304	  215765	  215765
 8388608	  211077	  211077
16777216	  204555	  204555
     128	       0	       0
     256	       0	       0
     512	    2727	    2727
    1024	    5763	    5763
    2048	   12768	   12768
    4096	   70108	   70108
    8192	  115741	  115741
   16384	  172891	  172891
   32768	  191678	  191678
   65536	  203954	  203954
  131072	  204278	  204278
  262144	  208713	  208713
  524288	  215466	  215466
 1048576	  204950	  204950
 2097152	  216386	  216386
 4194304	  220690	  220690
 8388608	  215027	  215027
16777216	  211911	  211911
     128	       0	       0
     256	       0	       0
     512	    2724	    2724
    1024	    5747	    5747
    2048	   12758	   12758
    4096	   69005	   69005
    8192	  116444	  116444
   16384	  178727	  178727
   32768	  192366	  192366
   65536	  201795	  201795
  131072	  204711	  204711
  262144	  209718	  209718
  524288	  211626	  211626
 1048576	  223371	  223371
 2097152	  214480	  214480
 4194304	  214229	  214229
 8388608	  211636	  211636
16777216	  209534	  209534
     128	       0	       0
     256	       0	       0
     512	    2719	    2719
    1024	    5495	    5495
    2048	   13638	   13638
    4096	   68995	   68995
    8192	  116389	  116389
   16384	  181136	  181136
   32768	  195113	  195113
   65536	  205515	  205515
  131072	  210382	  210382
  262144	  212199	  212199
  524288	  217820	  217820
 1048576	  224269	  224269
 2097152	  219681	  219681
 4194304	  208114	  208114
 8388608	  220279	  220279
16777216	  210929	  210929
     128	       0	       0
     256	       0	       0
     512	    2733	    2733
    1024	    5502	    5502
    2048	   13667	   13667
    4096	   69072	   69072
    8192	  116392	  116392
   16384	  188474	  188474
   32768	  193158	  193158
   65536	  204443	  204443
  131072	  209052	  209052
  262144	  214077	  214077
  524288	  214053	  214053
 1048576	  211215	  211215
 2097152	  220500	  220500
 4194304	  217100	  217100
 8388608	  218598	  218598
16777216	  217815	  217815
     128	       0	       0
     256	       0	       0
     512	    2738	    2738
    1024	    5603	    5603
    2048	   12762	   12762
    4096	   70140	   70140
    8192	  116607	  116607
   16384	  175023	  175023
   32768	  192740	  192740
   65536	  204252	  204252
  131072	  209046	  209046
  262144	  210298	  210298
  524288	  216682	  216682
 1048576	  213445	  213445
 2097152	  218591	  218591
 4194304	  218044	  218044
 8388608	  219229	  219229
