     128	     0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
     256	     0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
     512	23433.918869	897024	929792	954368	978944	1011712	1056768	1105920	1187840	1269760	1351680	1548288	1728512	2277376	2506752	3784704	5144576	8224768
    1024	23459.851338	905216	929792	954368	987136	1011712	1056768	1105920	1187840	1269760	1351680	1531904	1712128	2179072	2473984	3915776	5013504	7700480
    2048	23470.584314	905216	937984	962560	987136	1019904	1056768	1105920	1187840	1269760	1351680	1515520	1695744	2113536	2408448	4489216	6127616	11993088
    4096	23338.222059	921600	954368	978944	1003520	1036288	1073152	1122304	1187840	1269760	1351680	1515520	1679360	2072576	2310144	4079616	5210112	8093696
    8192	22233.892204	1036288	1073152	1089536	1122304	1155072	1187840	1220608	1253376	1286144	1351680	1466368	1581056	1892352	2113536	3358720	4554752	13697024
   16384	19245.9918	1220608	1269760	1302528	1335296	1368064	1384448	1417216	1449984	1482752	1515520	1597440	1679360	2441216	2834432	5144576	6455296	10944512
   32768	12674.410853	1810432	1908736	1957888	2039808	2088960	2146304	2179072	2244608	2277376	2375680	2473984	2572288	2768896	2899968	4177920	7307264	16580608
   65536	6532.015599	3719168	3883008	3948544	4046848	4112384	4227072	4292608	4358144	4423680	4489216	4685824	4816896	5079040	5210112	5603328	5799936	6914048
  131072	3234.158861	7766016	8028160	8159232	8290304	8454144	8585216	8585216	8716288	8847360	8978432	9109504	9371648	9895936	10158080	18219008	21102592	31850496
  262144	1620.391974	14876672	15794176	16187392	16449536	16711680	16908288	17170432	17432576	17694720	17956864	18481152	19005440	20316160	21364736	31064064	34340864	46923776
  524288	811.979201	27656192	29491200	30539776	31850496	32636928	33423360	34340864	34865152	35913728	36962304	39059456	40108032	43253760	44826624	47448064	48496640	55312384
 1048576	405.67201	51642368	56360960	58458112	61603840	63700992	66322432	68681728	70778880	72876032	76021760	80216064	84410368	93847552	95944704	103284736	109576192	112721920
 2097152	200.992804	92798976	105381888	111673344	120061952	126353408	131596288	137363456	143654912	149946368	156237824	166723584	177209344	198180864	206569472	227540992	233832448	244318208
 4194304	98.228556	181403648	214958080	227540992	244318208	254803968	267386880	278921216	291504128	304087040	320864256	350224384	379584512	450887680	492830720	566231040	566231040	583008256
 8388608	50.477808	242221056	438304768	459276288	492830720	509607936	526385152	549453824	566231040	583008256	608174080	650117120	683671552	775946240	817889280	901775360	926941184	926941184
16777216	25.607769	225443840	918552576	952107008	1002438656	1027604480	1052770304	1082130432	1098907648	1132462080	1166016512	1216348160	1266679808	1333788672	1350565888	1384120320	1384120320	1384120320
     128	     0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
     256	     0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
     512	23424.285857	897024	929792	954368	978944	1011712	1056768	1105920	1187840	1269760	1351680	1548288	1728512	2244608	2473984	3751936	4882432	8847360
    1024	23505.049832	905216	937984	954368	987136	1011712	1056768	1105920	1187840	1269760	1351680	1531904	1712128	2146304	2441216	3981312	4882432	7176192
    2048	23457.484751	905216	937984	962560	987136	1019904	1056768	1105920	1187840	1269760	1351680	1515520	1695744	2113536	2375680	4292608	5996544	13565952
    4096	23346.288457	921600	954368	978944	1011712	1036288	1073152	1122304	1187840	1269760	1351680	1515520	1679360	2056192	2277376	4112384	5406720	8716288
    8192	22176.460785	1036288	1073152	1105920	1138688	1155072	1187840	1220608	1253376	1302528	1368064	1466368	1581056	1892352	2088960	3489792	4751360	12779520
   16384	19113.729542	1220608	1269760	1302528	1335296	1368064	1400832	1433600	1449984	1482752	1531904	1613824	1695744	2473984	2867200	5275648	6914048	11206656
   32768	12518.449385	1826816	1925120	1974272	2056192	2113536	2146304	2211840	2277376	2310144	2408448	2506752	2605056	2834432	2965504	4423680	8290304	15663104
   65536	6513.816206	3719168	3883008	3948544	4046848	4145152	4227072	4292608	4358144	4423680	4554752	4685824	4816896	5079040	5210112	5537792	5668864	6848512
  131072	3235.19216	7766016	8028160	8159232	8290304	8454144	8585216	8585216	8716288	8847360	8978432	9109504	9371648	9764864	10027008	17170432	21889024	24248320
  262144	1616.192254	14876672	15925248	16187392	16580608	16908288	16908288	17170432	17432576	17694720	17956864	18481152	19005440	20316160	21102592	27656192	37486592	46399488
  524288	807.785888	27918336	29753344	30801920	31850496	32899072	33816576	34340864	35389440	36438016	37486592	39059456	40632320	43778048	44826624	47972352	49020928	54263808
 1048576	402.779629	52166656	56360960	58982400	62128128	64225280	66322432	68681728	70778880	72876032	76021760	81264640	85458944	95944704	99090432	106430464	110624768	125304832
 2097152	202.419032	86507520	103284736	110624768	120061952	125304832	131596288	137363456	141557760	147849216	156237824	168820736	179306496	202375168	210763776	231735296	238026752	246415360
 4194304	101.149808	164626432	204472320	221249536	238026752	250609664	263192576	274726912	283115520	295698432	312475648	333447168	354418688	413138944	442499072	534773760	541065216	549453824
 8388608	50.880757	274726912	438304768	463470592	492830720	509607936	530579456	549453824	566231040	583008256	599785472	641728512	666894336	742391808	775946240	851443712	876609536	876609536
16777216	25.272679	131596288	935329792	977272832	1019215872	1044381696	1069547520	1098907648	1115684864	1149239296	1182793728	1233125376	1249902592	1350565888	1367343104	1484783616	1484783616	1484783616
     128	     0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
     256	     0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
     512	23433.452218	897024	929792	954368	978944	1011712	1056768	1105920	1187840	1269760	1351680	1548288	1728512	2244608	2473984	3620864	4882432	8028160
    1024	23459.118029	905216	929792	954368	987136	1011712	1056768	1105920	1187840	1269760	1351680	1531904	1712128	2179072	2506752	3981312	5013504	7503872
    2048	23330.255658	913408	946176	962560	995328	1028096	1056768	1122304	1187840	1269760	1351680	1515520	1695744	2113536	2375680	4292608	5799936	11862016
    4096	23357.688077	929792	962560	978944	1011712	1036288	1073152	1122304	1187840	1269760	1351680	1499136	1679360	2072576	2277376	3817472	5079040	8716288
    8192	22225.692477	1036288	1073152	1089536	1122304	1155072	1187840	1220608	1253376	1286144	1351680	1466368	1581056	1908736	2113536	3457024	4882432	13959168
   16384	19005.833139	1220608	1269760	1302528	1351680	1384448	1400832	1433600	1466368	1499136	1548288	1630208	1712128	2441216	2899968	5472256	7110656	10682368
   32768	12596.560229	1810432	1908736	1974272	2039808	2113536	2146304	2211840	2244608	2310144	2375680	2473984	2605056	2801664	2932736	4489216	7766016	16711680
   65536	6511.916269	3719168	3883008	3948544	4079616	4145152	4227072	4292608	4358144	4423680	4554752	4685824	4816896	5079040	5210112	5472256	5734400	6586368
  131072	3240.091997	7766016	8028160	8159232	8290304	8454144	8454144	8585216	8716288	8847360	8978432	9109504	9371648	9764864	10027008	18481152	21889024	30015488
  262144	1619.171416	14876672	15794176	16187392	16449536	16711680	16908288	17170432	17432576	17694720	17956864	18481152	19005440	20316160	20840448	30277632	37486592	49545216
  524288	809.998334	27656192	29753344	30539776	31850496	32636928	33423360	34340864	35389440	35913728	36962304	39059456	40632320	43778048	44826624	48496640	49020928	50593792
 1048576	403.839744	52690944	56360960	58458112	61603840	64225280	66322432	68681728	70778880	72876032	76021760	81264640	85458944	94896128	100139008	109576192	113770496	120061952
 2097152	203.798734	89653248	104333312	111673344	119013376	125304832	130547712	135266304	141557760	147849216	154140672	164626432	175112192	196083712	206569472	229638144	235929600	248512512
 4194304	102.225776	181403648	210763776	221249536	238026752	250609664	258998272	270532608	278921216	291504128	304087040	329252864	350224384	404750336	429916160	455081984	463470592	463470592
 8388608	52.039287	270532608	438304768	463470592	488636416	501219328	517996544	534773760	549453824	566231040	583008256	616562688	641728512	700448768	725614592	734003200	767557632	767557632
16777216	25.619697	223346688	910163968	952107008	1002438656	1027604480	1052770304	1082130432	1115684864	1132462080	1166016512	1216348160	1249902592	1367343104	1417674752	1468006400	1468006400	1468006400
     128	     0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
     256	     0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
     512	23405.353155	897024	929792	954368	978944	1011712	1056768	1105920	1187840	1269760	1351680	1548288	1744896	2277376	2506752	3883008	5079040	8355840
    1024	23452.60316	905216	937984	954368	987136	1011712	1056768	1105920	1187840	1269760	1351680	1531904	1712128	2179072	2473984	3915776	4947968	7176192
    2048	23490.083664	905216	937984	962560	987136	1019904	1056768	1105920	1187840	1253376	1351680	1515520	1679360	2113536	2375680	4489216	5996544	11993088
    4096	23336.28879	929792	962560	978944	1011712	1036288	1073152	1122304	1187840	1269760	1351680	1515520	1679360	2072576	2277376	4046848	5013504	7307264
    8192	22255.458151	1036288	1073152	1089536	1122304	1155072	1187840	1204224	1253376	1286144	1351680	1466368	1581056	1892352	2088960	3325952	4816896	13959168
   16384	19226.025799	1220608	1269760	1302528	1335296	1368064	1384448	1417216	1449984	1482752	1515520	1597440	1679360	2473984	2867200	5210112	6782976	11337728
   32768	12604.679844	1810432	1908736	1974272	2039808	2113536	2146304	2211840	2244608	2310144	2375680	2473984	2572288	2801664	2932736	4423680	7700480	16711680
   65536	6507.749742	3719168	3883008	3948544	4046848	4145152	4227072	4292608	4358144	4423680	4554752	4685824	4816896	5079040	5210112	5603328	5799936	6651904
  131072	3247.058431	7766016	8028160	8159232	8290304	8454144	8454144	8585216	8716288	8847360	8978432	9109504	9371648	9764864	10027008	18481152	21626880	30277632
  262144	1619.512683	15007744	15794176	16187392	16580608	16711680	16908288	17170432	17432576	17694720	17956864	18481152	19005440	20316160	21364736	28704768	30801920	34865152
  524288	808.473051	27656192	29753344	30801920	31850496	32899072	33816576	34340864	35389440	36438016	37486592	39059456	40632320	43253760	44826624	48496640	52166656	56360960
 1048576	402.186229	51118080	56360960	58982400	61603840	64225280	66322432	68681728	70778880	73924608	77070336	81264640	86507520	95944704	100139008	108527616	110624768	116916224
 2097152	202.252432	89653248	103284736	111673344	120061952	126353408	131596288	137363456	141557760	147849216	156237824	166723584	177209344	202375168	210763776	233832448	235929600	242221056
 4194304	102.114904	166723584	206569472	221249536	235929600	248512512	258998272	267386880	278921216	287309824	308281344	333447168	358612992	417333248	438304768	467664896	484442112	526385152
 8388608	51.344417	187695104	446693376	467664896	492830720	513802240	526385152	541065216	549453824	566231040	591396864	624951296	658505728	742391808	759169024	784334848	792723456	792723456
16777216	24.928443	242221056	926941184	977272832	1019215872	1061158912	1082130432	1115684864	1132462080	1166016512	1199570944	1266679808	1317011456	1384120320	1434451968	1468006400	1468006400	1468006400
     128	     0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
     256	     0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
     512	23428.419053	897024	929792	954368	978944	1011712	1056768	1105920	1187840	1269760	1351680	1548288	1728512	2277376	2506752	3686400	4882432	8585216
    1024	23313.622879	905216	937984	962560	987136	1019904	1056768	1122304	1187840	1269760	1368064	1548288	1712128	2179072	2473984	3883008	4816896	7110656
    2048	23463.251225	905216	937984	962560	987136	1019904	1056768	1105920	1187840	1269760	1351680	1515520	1695744	2113536	2375680	4227072	5734400	11862016
    4096	23354.121529	929792	962560	978944	1011712	1036288	1073152	1122304	1187840	1269760	1351680	1499136	1679360	2072576	2310144	3883008	5013504	8585216
    8192	22235.084328	1036288	1073152	1089536	1122304	1155072	1187840	1220608	1253376	1286144	1351680	1466368	1581056	1892352	2113536	3325952	4554752	13303808
   16384	19129.962335	1220608	1269760	1302528	1335296	1368064	1400832	1417216	1449984	1482752	1531904	1613824	1695744	2441216	2867200	5406720	7045120	11206656
   32768	12601.946602	1810432	1908736	1974272	2039808	2113536	2146304	2211840	2244608	2310144	2375680	2473984	2572288	2801664	2932736	4227072	8978432	16449536
   65536	6563.314556	3719168	3850240	3948544	4046848	4112384	4177920	4227072	4292608	4423680	4489216	4620288	4751360	5013504	5144576	5472256	5799936	7176192
  131072	3256.549563	7700480	8028160	8159232	8290304	8355840	8454144	8585216	8716288	8716288	8847360	9109504	9240576	9633792	9895936	17170432	20316160	32374784
  262144	1617.371596	14876672	15794176	16187392	16580608	16908288	16908288	17170432	17432576	17694720	17956864	18481152	19005440	20316160	21626880	29753344	33816576	40108032
  524288	806.779548	27918336	29753344	30801920	31850496	32899072	33816576	34340864	35389440	36438016	37486592	39059456	40632320	43253760	44302336	47972352	48496640	52166656
 1048576	401.293204	52166656	56885248	58982400	62128128	64225280	66846720	68681728	70778880	73924608	77070336	82313216	86507520	95944704	99090432	106430464	109576192	126353408
 2097152	203.445174	89653248	104333312	110624768	119013376	125304832	130547712	135266304	141557760	147849216	154140672	164626432	175112192	200278016	208666624	225443840	229638144	240123904
 4194304	99.670099	177209344	208666624	223346688	240123904	252706816	263192576	274726912	283115520	299892736	316669952	337641472	367001600	463470592	492830720	566231040	574619648	599785472
 8388608	51.399067	177209344	438304768	459276288	484442112	501219328	522190848	541065216	557842432	574619648	591396864	633339904	666894336	775946240	809500672	851443712	859832320	859832320
16777216	25.221268	175112192	926941184	985661440	1027604480	1052770304	1082130432	1098907648	1132462080	1149239296	1182793728	1233125376	1266679808	1317011456	1350565888	1367343104	1367343104	1367343104
     128	     0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
     256	     0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
     512	23334.422186	897024	929792	954368	987136	1019904	1056768	1105920	1187840	1269760	1351680	1548288	1728512	2277376	2506752	3784704	5079040	8454144
