     128	     530	       0
     256	     980	       0
     512	    1904	       0
    1024	    3908	       0
    2048	    9049	       0
    4096	   19021	       0
    8192	   40563	       0
   16384	   68000	       0
   32768	   69699	       0
   65536	   66258	       0
  131072	   71669	       0
  262144	   63579	       0
  524288	   65317	       0
 1048576	   65344	       0
 2097152	   65855	       0
 4194304	   75007	       0
 8388608	   76811	       0
16777216	  126274	       0
     128	     509	       0
     256	    1031	       0
     512	    1920	       0
    1024	    3738	       0
    2048	    9403	       0
    4096	   20807	       0
    8192	   41503	       0
   16384	   62338	       0
   32768	   59292	       0
   65536	   64691	       0
  131072	   61142	       0
  262144	   62632	       0
  524288	   61924	       0
 1048576	   61733	       0
 2097152	   56585	       0
 4194304	   70104	       0
 8388608	   78474	       0
16777216	   92220	       0
     128	     538	       0
     256	    1310	       0
     512	    2042	       0
    1024	    5468	       0
    2048	   12415	       0
    4096	   24376	       0
    8192	   49166	       0
   16384	   67780	       0
   32768	   74617	       0
   65536	   71266	       0
  131072	   78120	       0
  262144	   74136	       0
  524288	   70640	       0
 1048576	   71858	       0
 2097152	   62139	       0
 4194304	   72898	       0
 8388608	   82354	       0
16777216	  110220	       0
     128	     517	       0
     256	    1035	       0
     512	    1998	       0
    1024	    3760	       0
    2048	    8524	       0
    4096	   18411	       0
    8192	   42524	       0
   16384	   62482	       0
   32768	   59441	       0
   65536	   64309	       0
  131072	   64432	       0
  262144	   61144	       0
  524288	   60404	       0
 1048576	   69099	       0
 2097152	   66952	       0
 4194304	   59833	       0
 8388608	   56908	       0
16777216	   62744	       0
     128	     730	       0
     256	    1751	       0
     512	    3955	       0
    1024	    6888	       0
    2048	   13372	       0
    4096	   28859	       0
    8192	   44844	       0
   16384	   75721	       0
   32768	   72652	       0
   65536	   79628	       0
  131072	   71379	       0
  262144	   75072	       0
  524288	   78640	       0
 1048576	   72304	       0
 2097152	   69734	       0
 4194304	   69397	       0
 8388608	   62857	       0
16777216	   58636	       0
     128	     518	       0
     256	    1056	       0
     512	    2116	       0
    1024	    4275	       0
    2048	    9229	       0
    4096	   24107	       0
    8192	   40834	       0
   16384	   61919	       0
   32768	   64078	       0
   65536	   66538	       0
  131072	   64696	       0
  262144	   69650	       0
  524288	   65775	       0
 1048576	   65065	       0
 2097152	   65688	       0
 4194304	   59194	       0
 8388608	   56605	       0
16777216	   63515	       0
     128	     779	       0
     256	    1484	       0
     512	    3587	       0
    1024	    5895	       0
    2048	   13873	       0
    4096	   26735	       0
    8192	   53522	       0
   16384	   72777	       0
   32768	   86808	       0
   65536	   80343	       0
  131072	   86472	       0
  262144	   81622	       0
  524288	   80739	       0
 1048576	   68753	       0
 2097152	   64813	       0
 4194304	   77165	       0
 8388608	   84757	       0
16777216	  106850	       0
     128	     561	       0
     256	    1030	       0
     512	    2169	       0
    1024	    4208	       0
    2048	    9479	       0
    4096	   20185	       0
    8192	   44402	       0
   16384	   63336	       0
   32768	   68027	       0
   65536	   64103	       0
  131072	   69910	       0
  262144	   61966	       0
  524288	   62080	       0
 1048576	   56304	       0
 2097152	   58968	       0
 4194304	   82070	       0
 8388608	   77669	       0
16777216	  199443	       0
     128	     560	       0
     256	    1097	       0
     512	    2242	       0
    1024	    4176	       0
    2048	    9095	       0
    4096	   19311	       0
    8192	   44239	       0
   16384	   63942	       0
   32768	   62705	       0
   65536	   66086	       0
  131072	   60652	       0
